index,review_id,user_id,business_id,stars,date,text,useful,funny,cool
5978,1abTBno3Wmcgle9YsJ9PaA,cvzKVWaGFysF1iZ1RUvsBg,LR0qF0FEVsCOhYWUOiH26A,2,2011-09-17,"I feel like this buffet was nothing too special which made me sad. The Aria is such a pretty hotel with other nice places to hang out and eat and this was just less than what I expected. I should've taken my 30something bucks and just gone back to the spa and brought a pastry from Jean Phillipe with me.
I was underwhelmed - the spread is not exciting at lunch. I guess I expected something new, special. This hotel buffet could have been in Vegas 5 years ago, and this hotel just opened last year.
The saving graces for me were three things: the fried rice - that was very good and not drenched in soy sauce or greasy; the cooked to order pasta bar, which was delicious; and the dessert table which was pretty and I had two creme brulee. 
I wouldn't come back here. Take a 20 minute walk over to Wicked Spoon.",0,0,0
13190,a6THL5KUhpeC5Uk30xNQhA,7pAwEaOzMHRKumRXlryRiw,LR0qF0FEVsCOhYWUOiH26A,1,2014-08-06,"What happened to this place ??? The last time I came here 2 years ago, I was in love, but now this place has gone downhill. It's horrible the food is gross. It makes the Japanese buffets look like 7 stars. Avoid at all costs. Don't believe me just ask to walk and look.",0,0,0
15975,YEEz9LFZ7cKuhNyflmZAbA,ghiTKjYicYZdxAtA0pQPSQ,LR0qF0FEVsCOhYWUOiH26A,4,2016-05-01,"I haven't been to Vegas in a while so I'm not sure if this is overpriced or is about $50 per person is standard for a nicer buffet these days, but... Yikes! At that price, you kind of feel like you really have to eat a ton to get your money's worth. 

I will say the seafood selection was abundant, including both King and snow crab legs, several types of fish and shellfish, and dishes like pallella. 

Everything I tried was very good, and our server, Louis, worked harder than I've ever seen a buffet server work. 

At $50 a person, I might try a few other places before coming back - but if we were in the mood for seafood, we'd probably come back here. 

Tip: if you're seeing the show at Aria, it's literally immediately next door so it's very convenient to eat here before a show.",2,0,0
21564,W29kVMXJGYungRP2wMNVoQ,V8uE2ph7i_HMm_Yu0JsiOA,LR0qF0FEVsCOhYWUOiH26A,5,2017-08-15,"The best buffet on the strip, in my honest opinion. Aria offers a variety of selections from Asian, Italian, Mediterranean, Hispanic, Indian, American, etc. The wait here was not that long either. And the price is almost probably the same as other buffets. The seating area is not as pretty as Wynn or Cosmopolitan Wicked Spoon but very modern and clean and nice, of course. The food is very high quality. And we came in in august and they have king crab, which is perfect!!! Totally recommend.",0,0,0
21595,Edxsj5mboNA_tw-hpbvXxg,SpnvzVVY5zIE1Ylq6o2gLA,LR0qF0FEVsCOhYWUOiH26A,5,2015-03-10,"I am shocked at the 3 star review for this buffet! This buffet is $40 and has virtually everything! Starting off, the waitress that we had was excellent. The food was great as well. They also have unlimited crab legs. For the money, this is my favorite buffet in Vegas. My only complaint is that the crab legs come in individual legs and not clusters.",0,0,0
24713,_yRACenn62Fx5qTdCCSDwA,2G1CKCiag-DusnKNTifTWg,LR0qF0FEVsCOhYWUOiH26A,2,2014-10-06,"Not really impressed with the food quality.  They had the standard fare of thin crab legs, prime rib and assorted foods, but the quality wasn't there for me.  Perhaps I am on the road too much and have become too much of a food critic.  Next time I will use Yelp before I make my selection instead of when I do the review.",0,0,0
26467,Rerb_jMDowskD_lNedLtNA,0YBJMg4H0SGqYZbZTxnSOg,LR0qF0FEVsCOhYWUOiH26A,2,2013-07-19,"My husband and I came for an early dinner (after work). The buffet looks really nice and SEEMED clean. So lets go blow by blow:
Price: kinda expensive ($74 for 2)
Waitress\/server: RUDE as all hell! Now, I suppose I wouldn't have been overly concerned with her jacked up attitude if she was that way with everyone but she absolutely wasn't. The white couple next to us got the pleasant voice and got checked on frequently...we were kind of left there like the red headed step-children. I am a firm believer of tipping ones wait staff (I usually drop 20% b\/c I know these people work hard and that's how I show my gratitude) but she all the way killed it as soon as she opened her mouth. She had ample time while we were eating to redeem herself but she threw herself under the bus when she was only nice to one table and not the other. 
Food: literally half of what we ate was really good, the other half horrible. We made a point to try everything to get our $74 worth lol! The cheeses in the Italiano section were ok, the mozzarella kinda melted and that made it taste weird. The roast beef seemed extra bloody. There was an open faced pork bun that tasted like sea water it was so damn salty. Pesto, Mexican section, seafood soup, seafood jambalaya, sushi, salad, beef brisket, mashed potatoes, both gravy's, banana in some butter sweet syrup, Rice Krispie treats, and ice cream were on point. Everything else was over seasoned somehow including the king crab. Meringue cookies tasted gross along with the coconut macaroons and the flan was somehow bland tasting. 
Manager: the manager stopped by our table and asked how everything was for us, we took that opportunity to let him know we were displeased with our server. He apologized for the experience and told us he would take this feedback and use it as a training tool. He was a very nice guy and I appreciate that he was checking up on folks and checking out the food area. 
He seemed diligent about his work, I can respect that. Sure enough as soon as he leaves, our server gives us the friendly voice and asked how we were doing...yea be nice in our last 5 minutes lady, sounds like a great idea =P 
Cleanliness: my spoon was dirty...turn off in my book. The table was a bit sticky as well when we were seated. 
Overall: the hotel area and the casino are very beautiful and full of abstract art pieces. As for the buffet, we won't be coming back...or taking people here; just a bit expensive for the quality of the food. I just hope my pregnant ass doesn't get some kind of stomach bacteria from the mozzerella being out in room temp for a long period of time. The little seafood cups should have been on ice as well but they weren't.",2,1,1
33998,Wc9jdYWEXZwwMrDnhv0BgA,O03NCYlXw6sez-l_qQeoSg,LR0qF0FEVsCOhYWUOiH26A,4,2014-06-28,"No line at 2p on Saturday, still pricey at $32 but it's aria. They still had breakfast out, which is fine by me because it was just a small section. Dinner and lunch menu items were out to enjoy. Same variety as other nice casinos. Love the music that they play, very adult contemporary. Quick to pick up our dirty plates, I put them on par though in general",0,0,0
35841,zeuhPUpG_JEbVEFhO6geLQ,5Bcj8S0dZWDAwHq7B4h2mA,LR0qF0FEVsCOhYWUOiH26A,4,2013-07-02,"I ate here at 2pm and its now midnight and I'm still not hungry. 

For $32 you get all the snow crab legs you can eat w out getting sick, endless California rolls, amazing blueberry blintzes, diverse desserts, and much more. 

The only thing I wish this place had was chicken wings or fried chicken.",1,1,0
36603,zi-zxDKI9oY7_pFazPAhqA,PcfwKJJA9-H6ZNXAqNke9A,LR0qF0FEVsCOhYWUOiH26A,2,2017-04-12,"I know I can't expect too much from a buffet but this buffet was not good.. The food seemed like it was left out too long n tasted old.. I'm not going to go into each things I ate but even the desserts didn't taste good. They also use tiny cups for water so they have to keep on  refilling them... Let me give u a tip.. Use bigger taller glasses it will help w refilling often. 

If u want a good buffet goto bellagio or cosmo.. Those r my 2 fav",0,2,0
